Name	Meta	main_role	sub_role	Function	locus_tag
pepP	Genetic Info processing	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	aminopeptidase P	PA5224
	Genetic Info processing	Protein fate	"Degradation of proteins, peptides, and glycopeptides"	probable peptidase	PA5440
prlC	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	oligopeptidase A	PA0067
tagF1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TagF1	PA0076
icmF1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	IcmF1	PA0077
tssL1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TssL1	PA0078
tssK1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TssK1	PA0079
tssJ1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TssJ1	PA0080
fha1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Fha1	PA0081
tssA1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TssA1	PA0082
tssB1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TssB1	PA0083
tssC1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TssC1	PA0084
tagJ1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TagJ1	PA0086
tssE1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TssE1	PA0087
tssF1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TssF1	PA0088
tssG1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	TssG1	PA0089
clpV1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	ClpV1	PA0090
aaaA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	arginine-specific autotransporter of Pseudomonas aeruginosa AaaA	PA0328
ftsY	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	signal recognition particle receptor FtsY	PA0373
hxcW	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HxcW	PA0677
hxcU	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HxcU	PA0678
hxcP	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HxcP	PA0679
hxcV	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HxcV	PA0680
hxcT	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HxcT	PA0681
hxcQ	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HxcQ	PA0685
hxcR	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HxcR	PA0686
hxcS	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HxcS	PA0687
lepB	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	signal peptidase I	PA0768
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	hypothetical protein	PA1011
aprD	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	alkaline protease secretion protein AprD	PA1246
aprE	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	alkaline protease secretion protein AprE	PA1247
aprF	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Alkaline protease secretion outer membrane protein AprF precursor	PA1248
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	signal peptidase	PA1303
ccmA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	heme exporter protein CcmA	PA1475
ccmB	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	heme exporter protein CcmB	PA1476
ccmC	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	heme exporter protein CcmC	PA1477
hsiA2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiA2	PA1656
hsiB2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiB2	PA1657
hsiC2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiC2	PA1658
hsiF2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiF2	PA1659
hsiG2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiG2	PA1660
hsiH2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiH2	PA1661
clpV2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	clpV2	PA1662
fha2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Fha2	PA1665
lip2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Lip2	PA1666
hsiJ2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiJ2	PA1667
dotU2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	DotU2	PA1668
icmF2	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	IcmF2	PA1669
stp1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Stp1	PA1670
stk1	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Stk1	PA1671
pscU	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	translocation protein in type III secretion	PA1690
pscT	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	translocation protein in type III secretion	PA1691
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable translocation protein in type III secretion	PA1692
pscR	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	translocation protein in type III secretion	PA1693
pscQ	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	translocation protein in type III secretion	PA1694
pscO	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	translocation protein in type III secretion	PA1696
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	ATP synthase in type III secretion system	PA1697
popN	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Type III secretion outer membrane protein PopN precursor	PA1698
pcr3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Pcr3	PA1701
pcrD	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type III secretory apparatus protein PcrD	PA1703
pcrR	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	transcriptional regulator protein PcrR	PA1704
pcrG	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	regulator in type III secretion	PA1705
pcrV	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type III secretion protein PcrV	PA1706
pcrH	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	regulatory protein PcrH	PA1707
popB	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	translocator protein PopB	PA1708
popD	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Translocator outer membrane protein PopD precursor	PA1709
pscB	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type III export apparatus protein	PA1715
pscC	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Type III secretion outer membrane protein PscC precursor	PA1716
pscD	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type III export protein PscD	PA1717
pscF	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type III export protein PscF	PA1719
pscG	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type III export protein PscG	PA1720
pscI	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type III export protein PscI	PA1722
pscJ	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type III export protein PscJ	PA1723
pscL	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type III export protein PscL	PA1725
xphA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	XphA	PA1867
xqhA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein XqhA	PA1868
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable ATP-binding/permease fusion ABC transporter	PA1876
pcoA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	copper resistance protein A precursor	PA2065
hsiA3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	hypothetical protein	PA2360
icmF3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	IcmF3	PA2361
dotU3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	DotU3	PA2362
hsiJ3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiJ3	PA2363
lip3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Lip3	PA2364
hsiB3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiB3	PA2365
hsiC3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiC3	PA2366
hsiF3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiF3	PA2368
hsiG3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiG3	PA2369
hsiH3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	HsiH3	PA2370
clpV3	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	ClpV3	PA2371
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable aldehyde dehydrogenase	PA2378
pvdP	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	PvdP	PA2392
gtdA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	gentisate 12-dioxygenase	PA2470
lolA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	lipoprotein localization protein LolA	PA2614
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable type II secretion system protein	PA2672
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable type II secretion system protein	PA2673
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable type II secretion system protein	PA2674
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable type II secretion system protein	PA2675
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable type II secretion system protein	PA2676
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable type II secretion protein	PA2677
lipA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	lactonizing lipase precursor	PA2862
lipH	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	lipase modulator protein	PA2863
mttC	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein MttC	PA2866
lolC	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	lipoprotein localization protein LolC	PA2986
lolD	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	lipoprotein localization protein LolD	PA2987
lolE	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	lipoprotein localization protein LolE	PA2988
psrA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	transcriptional regulator PsrA	PA3006
xcpZ	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	general secretion pathway protein M	PA3095
xcpY	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	general secretion pathway protein L	PA3096
xcpX	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	general secretion pathway protein K	PA3097
xcpW	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	general secretion pathway protein J	PA3098
xcpV	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	general secretion pathway protein I	PA3099
xcpU	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	General secretion pathway outer membrane protein H precursor	PA3100
xcpT	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	general secretion pathway protein G	PA3101
xcpS	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	general secretion pathway protein F	PA3102
xcpR	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	general secretion pathway protein E	PA3103
xcpP	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein XcpP	PA3104
xcpQ	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	general secretion pathway protein D	PA3105
csaA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	CsaA protein	PA3221
nosZ	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	nitrous-oxide reductase precursor	PA3392
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable outer membrane protein precursor	PA3404
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable serine protease	PA3535
opr86	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	outer membrane protein Opr86	PA3648
ffh	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	signal recognition particle protein Ffh	PA3746
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	conserved hypothetical protein	PA3800
secF	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein SecF	PA3820
secD	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein SecD	PA3821
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	conserved hypothetical protein	PA3822
spcS	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	specific Pseudomonas chaperone for ExoS SpcS	PA3842
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	PAAR4	PA3904
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	co-chaperone co-TecT	PA3906
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	hypothetical protein	PA4140
secY	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein SecY	PA4243
secE	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein SecE	PA4276
secA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein SecA	PA4403
pilB	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	type 4 fimbrial biogenesis protein PilB	PA4526
comL	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	competence protein ComL	PA4545
lspA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	prolipoprotein signal peptidase	PA4559
lolB	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	lipoprotein localization protein LolB	PA4668
secG	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein SecG	PA4747
omlA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	Outer membrane lipoprotein OmlA precursor	PA4765
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	POTRA-like domain-containing usher CupB3	PA4804
lipC	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	lipase LipC	PA4813
hflK	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	protease subunit HflK	PA4942
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable outer membrane protein precursor	PA4974
tatA	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	translocation protein TatA	PA5068
tatB	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	translocation protein TatB	PA5069
tatC	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	transport protein TatC	PA5070
secB	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	secretion protein SecB	PA5128
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	probable secretion pathway ATPase	PA5210
	Genetic Info processing	Protein fate	Protein and peptide secretion and trafficking	conserved hypothetical protein	PA5568
	Genetic Info processing	Protein fate	Protein folding and stabilization	probable ClpA/B protease ATP binding subunit	PA0459
dsbB	Genetic Info processing	Protein fate	Protein folding and stabilization	disulfide bond formation protein	PA0538
surA	Genetic Info processing	Protein fate	Protein folding and stabilization	peptidyl-prolyl cis-trans isomerase SurA	PA0594
mucD	Genetic Info processing	Protein fate	Protein folding and stabilization	serine protease MucD precursor	PA0766
slyD	Genetic Info processing	Protein fate	Protein folding and stabilization	peptidyl-prolyl cis-trans isomerase SlyD	PA0837
	Genetic Info processing	Protein fate	Protein folding and stabilization	putative beta-barrel assembly-enhancing protease	PA1005
	Genetic Info processing	Protein fate	Protein folding and stabilization	probable heat shock protein (hsp90 family)	PA1068
cycH	Genetic Info processing	Protein fate	Protein folding and stabilization	cytochrome c-type biogenesis protein	PA1483
	Genetic Info processing	Protein fate	Protein folding and stabilization	hypothetical protein	PA1522
htpG	Genetic Info processing	Protein fate	Protein folding and stabilization	heat shock protein HtpG	PA1596
pcr1	Genetic Info processing	Protein fate	Protein folding and stabilization	Pcr1	PA1699
pcr2	Genetic Info processing	Protein fate	Protein folding and stabilization	Pcr2	PA1700
pscG	Genetic Info processing	Protein fate	Protein folding and stabilization	type III export protein PscG	PA1720
ppiB	Genetic Info processing	Protein fate	Protein folding and stabilization	peptidyl-prolyl cis-trans isomerase B	PA1793
tig	Genetic Info processing	Protein fate	Protein folding and stabilization	trigger factor	PA1800
clpX	Genetic Info processing	Protein fate	Protein folding and stabilization	ClpX	PA1802
ppiD	Genetic Info processing	Protein fate	Protein folding and stabilization	peptidyl-prolyl cis-trans isomerase D	PA1805
ppiC1	Genetic Info processing	Protein fate	Protein folding and stabilization	peptidyl-prolyl cis-trans isomerase C1	PA1996
dsbG	Genetic Info processing	Protein fate	Protein folding and stabilization	thiol:disulfide interchange protein DsbG	PA2476
clpS	Genetic Info processing	Protein fate	Protein folding and stabilization	ClpS	PA2621
htpX	Genetic Info processing	Protein fate	Protein folding and stabilization	heat shock protein HtpX	PA2830
ibpA	Genetic Info processing	Protein fate	Protein folding and stabilization	heat-shock protein IbpA	PA3126
csaA	Genetic Info processing	Protein fate	Protein folding and stabilization	CsaA protein	PA3221
ppiA	Genetic Info processing	Protein fate	Protein folding and stabilization	peptidyl-prolyl cis-trans isomerase A	PA3227
	Genetic Info processing	Protein fate	Protein folding and stabilization	probable peptidyl-prolyl cis-trans isomerase FkbP-type	PA3262
dsbC	Genetic Info processing	Protein fate	Protein folding and stabilization	thiol:disulfide interchange protein DsbC	PA3737
hscA	Genetic Info processing	Protein fate	Protein folding and stabilization	heat shock protein HscA	PA3810
hscB	Genetic Info processing	Protein fate	Protein folding and stabilization	heat shock protein HscB	PA3811
narJ	Genetic Info processing	Protein fate	Protein folding and stabilization	respiratory nitrate reductase delta chain	PA3873
ppiC2	Genetic Info processing	Protein fate	Protein folding and stabilization	peptidyl-prolyl cis-trans isomerase C2	PA4176
groEL	Genetic Info processing	Protein fate	Protein folding and stabilization	GroEL protein	PA4385
groES	Genetic Info processing	Protein fate	Protein folding and stabilization	GroES protein	PA4386
clpB	Genetic Info processing	Protein fate	Protein folding and stabilization	ClpB protein	PA4542
fklB	Genetic Info processing	Protein fate	Protein folding and stabilization	peptidyl-prolyl cis-trans isomerase FklB	PA4572
dnaJ	Genetic Info processing	Protein fate	Protein folding and stabilization	DnaJ protein	PA4760
dnaK	Genetic Info processing	Protein fate	Protein folding and stabilization	DnaK protein	PA4761
grpE	Genetic Info processing	Protein fate	Protein folding and stabilization	heat shock protein GrpE	PA4762
	Genetic Info processing	Protein fate	Protein folding and stabilization	probable heat-shock protein	PA4873
hslU	Genetic Info processing	Protein fate	Protein folding and stabilization	heat shock protein HslU	PA5054
yrfI	Genetic Info processing	Protein fate	Protein folding and stabilization	heat shock protein HSP33	PA5193
dsbH	Genetic Info processing	Protein fate	Protein folding and stabilization	disulfide bond formation protein	PA5256
def	Genetic Info processing	Protein fate	Protein modification and repair	polypeptide deformylase	PA0019
lgt	Genetic Info processing	Protein fate	Protein modification and repair	prolipoprotein diacylglyceryl transferase	PA0341
	Genetic Info processing	Protein fate	Protein modification and repair	putative peptide deformylase	PA1122
	Genetic Info processing	Protein fate	Protein modification and repair	conserved hypothetical protein	PA1548
	Genetic Info processing	Protein fate	Protein modification and repair	probable DNA methylase	PA1678
	Genetic Info processing	Protein fate	Protein modification and repair	probable protease	PA1832
nrdG	Genetic Info processing	Protein fate	Protein modification and repair	class III (anaerobic) ribonucleoside-triphosphate reductase activating protein 'activase' NrdG	PA1919
	Genetic Info processing	Protein fate	Protein modification and repair	probable methionine aminopeptidase	PA2748
mep72	Genetic Info processing	Protein fate	Protein modification and repair	Mep72	PA2783
	Genetic Info processing	Protein fate	Protein modification and repair	conserved hypothetical protein	PA2827
oprI	Genetic Info processing	Protein fate	Protein modification and repair	Outer membrane lipoprotein OprI precursor	PA2853
ptpA	Genetic Info processing	Protein fate	Protein modification and repair	phosphotyrosine protein phosphatase	PA2978
algO	Genetic Info processing	Protein fate	Protein modification and repair	AlgO	PA3257
pcm	Genetic Info processing	Protein fate	Protein modification and repair	L-isoaspartate protein carboxylmethyltransferase type II	PA3624
map	Genetic Info processing	Protein fate	Protein modification and repair	methionine aminopeptidase	PA3657
lnt	Genetic Info processing	Protein fate	Protein modification and repair	apolipoprotein N-acyltransferase	PA3984
lipB	Genetic Info processing	Protein fate	Protein modification and repair	lipoate-protein ligase B	PA3997
birA	Genetic Info processing	Protein fate	Protein modification and repair	BirA bifunctional protein	PA4280
	Genetic Info processing	Protein fate	Protein modification and repair	probable peptidyl-prolyl cis-trans isomerase FkbP-type	PA4558
prmC	Genetic Info processing	Protein fate	Protein modification and repair	S-adenosylmethionine-dependent methyltransferase PrmC	PA4664
msrA	Genetic Info processing	Protein fate	Protein modification and repair	peptide methionine sulfoxide reductase	PA5018
ctpA	Genetic Info processing	Protein fate	Protein modification and repair	carboxyl-terminal processing protease CtpA	PA5134
era	Genetic Info processing	Protein synthesis	Other@Protein synthesis	GTP-binding protein Era	PA0771
	Genetic Info processing	Protein synthesis	Other@Protein synthesis	probable non-ribosomal peptide synthetase	PA3327
	Genetic Info processing	Protein synthesis	Other@Protein synthesis	probable acetyltransferase	PA3460
	Genetic Info processing	Protein synthesis	Other@Protein synthesis	conserved hypothetical protein	PA3799
	Genetic Info processing	Protein synthesis	Other@Protein synthesis	conserved hypothetical protein	PA3982
obg	Genetic Info processing	Protein synthesis	Other@Protein synthesis	GTP-binding protein Obg	PA4566
	Genetic Info processing	Protein synthesis	Other@Protein synthesis	peptidyl-tRNA hydrolase	PA4672
smpB	Genetic Info processing	Protein synthesis	Other@Protein synthesis	SmpB protein	PA4768
armZ	Genetic Info processing	Protein synthesis	Other@Protein synthesis	ArmZ	PA5471
	Genetic Info processing	Protein synthesis	Other@Protein synthesis	conserved hypothetical protein	PA5492
rpsU	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S21	PA0579
	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	conserved hypothetical protein	PA0916
	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	probable DNA methylase	PA1678
	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	conserved hypothetical protein	PA1769
rimJ	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	ribosomal protein alanine acetyltransferase	PA1928
	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	hypothetical protein	PA1943
rplT	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L20	PA2741
rpmI	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L35	PA2742
rpmF	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L32	PA2970
rmf	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	ribosome modulation factor	PA3049
rpsA	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S1	PA3162
	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	conserved hypothetical protein	PA3600
	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	conserved hypothetical protein	PA3601
rpsB	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S2	PA3656
rplS	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L19	PA3742
rpsP	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S16	PA3745
	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	conserved hypothetical protein	PA3944
	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	conserved hypothetical protein	PA3945
rplQ	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L17	PA4237
rpsD	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S4	PA4239
rpsK	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S11	PA4240
rpsM	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S13	PA4241
rpmJ	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L36	PA4242
rplO	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L15	PA4244
rpmD	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L30	PA4245
rpsE	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S5	PA4246
rplR	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L18	PA4247
rplF	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L6	PA4248
rpsH	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S8	PA4249
rpsN	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S14	PA4250
rplE	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L5	PA4251
rplX	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L24	PA4252
rplN	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L14	PA4253
rpsQ	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S17	PA4254
rpmC	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L29	PA4255
rplP	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L16	PA4256
rpsC	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S3	PA4257
rplV	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L22	PA4258
rpsS	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S19	PA4259
rplB	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L2	PA4260
rplW	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L23	PA4261
rplD	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L4	PA4262
rplC	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L3	PA4263
rpsJ	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S10	PA4264
rpsG	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S7	PA4267
rpsL	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S12	PA4268
rplL	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L7 / L12	PA4271
rplJ	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L10	PA4272
rplA	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L1	PA4273
rplK	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L11	PA4274
rpsI	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S9	PA4432
rplM	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	50S ribosomal protein L13	PA4433
rpsT	Genetic Info processing	Protein synthesis	Ribosomal proteins: synthesis and modification	30S ribosomal protein S20	PA4563
